angleout,pathlength,cylangleadvance,windingrot,anglein
10.000000, 1143.583173, -1.000000, -589.769639, -1.000000
10.100000, 1137.670866, -1.000000, -586.591288, -1.000000
10.200000, 1141.883217, -1.000000, -589.386318, -1.000000
10.300000, 1144.459931, -1.000000, -590.093973, -1.000000
10.400000, 1129.270371, -1.000000, -581.970947, -1.000000
10.500000, 1121.456591, -1.000000, -577.571593, -1.000000
10.600000, 1128.651495, -1.000000, -579.140584, -1.000000
10.700000, 1126.949094, -1.000000, -578.922293, -1.000000
10.800000, 1133.522611, -1.000000, -581.607784, -1.000000
10.900000, 1124.471541, -1.000000, -577.316681, -1.000000
11.000000, 1116.313516, -1.000000, -574.604657, -1.000000
11.100000, 1100.089262, -1.000000, -565.160606, -1.000000
11.200000, 1101.056534, -1.000000, -565.168230, -1.000000
11.300000, 1100.634991, -1.000000, -565.374506, -1.000000
11.400000, 1122.174933, -1.000000, -574.199099, -1.000000
11.500000, 1117.165484, -1.000000, -574.201102, -1.000000
11.600000, 1105.028584, -1.000000, -567.097230, -1.000000
11.700000, 1101.178722, -1.000000, -564.560176, -1.000000
11.800000, 1087.986105, -1.000000, -558.320788, -1.000000
11.900000, 1105.537734, -1.000000, -566.348105, -1.000000
12.000000, 1104.581741, -1.000000, -565.578373, -1.000000
12.100000, 1109.636210, -1.000000, -567.026588, -1.000000
12.200000, 1094.922610, -1.000000, -558.921038, -1.000000
12.300000, 1093.163294, -1.000000, -560.136452, -1.000000
12.400000, 1099.702001, -1.000000, -561.412509, -1.000000
12.500000, 1095.852410, -1.000000, -559.967730, -1.000000
12.600000, 1106.871547, -1.000000, -564.694004, -1.000000
12.700000, 1093.712939, -1.000000, -557.455269, -1.000000
12.800000, 2069.400890, 325.615856, -1045.601951, 19.595494
12.900000, 1113.216079, -1.000000, -568.268846, -1.000000
13.000000, 1111.855727, -1.000000, -566.762437, -1.000000
13.100000, 1113.896532, -1.000000, -566.513556, -1.000000
13.200000, 1105.383600, -1.000000, -564.972768, -1.000000
13.300000, 2080.462494, 332.205620, -1052.202611, 16.444686
13.400000, 2050.692690, 315.999598, -1035.969869, 16.607352
13.500000, 1110.018702, -1.000000, -565.809486, -1.000000
13.600000, 2139.959856, 4.554028, -1084.547597, 15.263490
13.700000, 2175.769203, 23.947667, -1103.949120, 14.265459
