angleout,pathlength,cylangleadvance,windingrot,anglein
20.000000, 1518.053621, 21.580416, -741.579560, 25.801042
20.001000, 1531.522716, 29.363291, -749.362857, 24.569779
20.002000, 1533.632003, 30.581810, -750.574872, 24.397473
20.003000, 1574.220473, 53.625533, -773.617682, 21.507890
20.004000, 1573.350420, 53.131546, -773.128412, 21.537797
20.005000, 1576.674915, 54.993653, -774.995823, 21.316007
20.006000, 1588.389520, 61.562745, -781.553825, 20.559002
20.007000, 1586.868573, 60.705757, -780.705032, 20.613307
20.008000, 1587.875112, 61.273660, -781.267515, 20.546022
20.009000, 1590.640934, 62.809132, -782.811220, 20.384468
20.010000, 1533.739791, 30.640387, -750.634016, 24.530174
20.011000, 1590.607193, 62.790505, -782.792414, 20.385844
20.012000, 1533.720914, 30.629656, -750.623181, 24.531023
20.013000, 1588.809384, 61.795823, -781.788086, 20.539597
20.014000, 1587.526207, 61.076433, -781.072172, 20.587387
20.015000, 1587.871341, 61.271497, -781.265373, 20.547933
20.016000, 1590.865284, 62.933382, -782.936324, 20.373541
20.017000, 1533.692073, 30.613329, -750.606696, 24.528167
20.018000, 1532.857359, 30.135360, -750.127551, 24.554564
20.019000, 1534.810205, 31.249875, -751.249423, 24.396210
20.020000, 1534.640257, 31.153424, -751.152037, 24.398375
20.021000, 1534.124801, 30.860832, -750.856600, 24.416576
20.022000, 1537.063344, 32.548591, -752.542675, 24.162597
20.023000, 1550.766429, 40.371693, -760.365809, 23.400075
20.024000, 1555.228930, 42.910762, -762.905564, 23.059548
20.025000, 1556.579629, 43.679810, -763.673445, 22.938356
20.026000, 1555.606046, 43.128697, -763.121417, 22.969489
20.027000, 1554.774931, 42.652762, -762.650023, 23.001329
20.028000, 1556.885559, 43.852977, -763.848288, 22.850099
20.029000, 1552.542157, 41.379267, -761.375873, 23.458544
20.030000, 1551.440344, 40.758397, -760.748995, 23.500804
20.031000, 1550.747989, 40.360819, -760.355039, 23.524696
20.032000, 1553.149380, 41.723666, -761.723618, 23.358871
20.033000, 1550.576072, 40.261497, -760.256666, 22.733710
20.034000, 1517.566498, 21.298162, -741.300007, 25.805268
20.035000, 1517.361199, 21.177847, -741.180850, 25.823868
20.036000, 1517.191451, 21.080244, -741.082331, 25.833977
20.037000, 1516.999419, 20.969830, -740.970852, 25.847674
20.038000, 1516.806643, 20.858976, -740.858925, 25.859904
20.039000, 1516.726169, 20.812717, -740.812217, 25.863438
20.040000, 1560.171657, 45.731207, -765.723974, 22.278093
20.041000, 1560.614423, 45.983171, -765.973851, 22.236792
20.042000, 1563.326581, 47.504183, -767.504948, 22.040485
20.043000, 1566.165269, 49.108830, -769.104528, 21.867294
20.044000, 1564.146669, 47.970550, -767.966868, 21.964506
20.045000, 1518.491787, 21.858442, -741.854938, 25.857171
20.046000, 1517.277230, 21.146491, -741.149215, 25.921055
20.047000, 1516.590790, 20.751083, -740.749986, 25.963058
20.048000, 1516.475335, 20.684540, -740.682796, 25.948634
20.049000, 1538.111627, 33.196632, -753.189774, 23.690350
20.050000, 1548.263993, 38.969961, -758.968503, 22.891574
20.051000, 1547.340385, 38.450561, -758.444069, 22.923955
20.052000, 1547.013209, 38.266201, -758.257932, 22.932582
20.053000, 1514.644088, 19.831663, -739.822568, 22.957244
20.054000, 1513.784848, 19.338415, -739.334046, 22.991650
20.055000, 1516.944614, 21.131493, -741.134073, 23.116419
20.056000, 1516.575491, 20.922604, -740.923169, 23.113553
20.057000, 1558.878552, 44.980749, -764.980684, 21.974187
20.058000, 1557.232655, 44.054641, -764.051909, 22.060430
20.059000, 1562.021141, 46.751676, -766.749801, 21.763615
20.060000, 1567.375274, 49.758061, -769.760043, 21.419840
20.061000, 1567.419159, 49.781996, -769.784208, 21.408281
20.062000, 1566.666533, 49.363004, -769.361167, 21.435322
20.063000, 1537.634077, 32.928272, -752.918832, 23.707145
20.064000, 1547.681729, 38.644527, -758.639913, 22.913740
20.065000, 1551.844385, 41.015695, -761.008772, 22.262226
20.066000, 1552.080302, 41.147272, -761.141624, 22.223370
20.067000, 1547.375600, 38.472335, -758.466053, 22.925931
20.068000, 1552.705901, 41.497535, -761.495291, 22.198292
20.069000, 1551.838035, 41.011568, -761.004605, 22.229167
20.070000, 1554.512434, 42.515132, -762.513704, 22.041960
20.071000, 1553.579317, 41.984131, -761.986598, 22.073599
20.072000, 1553.665023, 42.031272, -762.034192, 22.042783
20.073000, 1552.911636, 41.609623, -761.608468, 22.065185
20.074000, 1499.462952, 11.162721, -731.161678, 24.443751
20.075000, 1498.241450, 10.458267, -730.458520, 24.498679
20.076000, 1504.501075, 14.050561, -734.046851, 23.947448
20.077000, 1502.728377, 13.030912, -733.030824, 24.037972
20.078000, 1501.343590, 12.244058, -732.236349, 24.110221
20.079000, 1500.197113, 11.583202, -731.578152, 24.162301
20.080000, 1510.290205, 17.350842, -737.342081, 23.312200
20.081000, 1503.843802, 13.663727, -733.663710, 23.849354
20.082000, 1512.588378, 18.646400, -738.648648, 23.126953
20.083000, 1515.951415, 20.561371, -740.558430, 22.908394
20.084000, 1514.967427, 20.007518, -739.999207, 22.939549
20.085000, 1513.913728, 19.405270, -739.400263, 22.979445
20.086000, 1516.989309, 21.149486, -741.152239, 23.104844
20.087000, 1517.240860, 21.292047, -741.293950, 23.060597
20.088000, 1502.223600, 12.737040, -732.734103, 23.975472
20.089000, 1513.052800, 18.910261, -738.909977, 23.102195
20.090000, 1539.659566, 34.112214, -754.114219, 22.993049
20.091000, 1539.219630, 33.864391, -753.864005, 23.013522
20.092000, 1539.020043, 33.751794, -753.750317, 23.020495
20.093000, 1538.830747, 33.644981, -753.642468, 23.024395
20.094000, 1538.574424, 33.500445, -753.496529, 23.032690
20.095000, 1538.386786, 33.394553, -753.389610, 23.040366
20.096000, 1538.236487, 33.309672, -753.303906, 23.046346
20.097000, 1537.515853, 32.902674, -752.893363, 23.070738
20.098000, 1537.327684, 32.794389, -752.786119, 23.078748
20.099000, 1519.931959, 22.848653, -742.842609, 24.631559
20.100000, 1519.787479, 22.765654, -742.758808, 24.637703
20.101000, 1519.643983, 22.683211, -742.675569, 24.642188
20.102000, 1519.521052, 22.612480, -742.604158, 24.645263
20.103000, 1519.271344, 22.469084, -742.459737, 24.655289
20.104000, 1598.656825, 67.496355, -787.493317, 21.579287
20.105000, 1597.464766, 66.832076, -786.822667, 21.632163
20.106000, 1596.345208, 66.195900, -786.192586, 21.678340
20.107000, 1596.467966, 66.265448, -786.261471, 21.659511
20.108000, 1595.645463, 65.797975, -785.798461, 21.703026
20.109000, 1598.817798, 67.584609, -787.582429, 21.504875
20.110000, 1575.801561, 54.614882, -774.613392, 22.263156
20.111000, 1576.961955, 55.267393, -775.268772, 22.172594
20.112000, 1597.652773, 66.904879, -786.896113, 20.815743
20.113000, 1596.666785, 66.349460, -786.344681, 20.854668
20.114000, 1595.987390, 65.965709, -785.964591, 20.877821
20.115000, 1595.545450, 65.716036, -785.717307, 20.885851
20.116000, 1583.461429, 58.939656, -778.930888, 21.888497
20.117000, 1582.929033, 58.636709, -778.630844, 21.910433
20.118000, 1583.106057, 58.737494, -778.730665, 21.883329
20.119000, 1582.290555, 58.273581, -778.271177, 21.916264
20.120000, 1594.982586, 65.401974, -785.403914, 21.104540
20.121000, 1568.588783, 50.504634, -770.501655, 23.113461
20.122000, 1584.935683, 59.756571, -779.754359, 21.933699
